,ppid,radius,yawrate_offset,trialn,timestamp_exp,timestamp_trial,trialtype_signed,World_x,World_z,WorldYaw,SWA,YawRate_seconds,TurnAngle_frames,Distance_frames,dt,WheelCorrection,SteeringBias,Closestpt,AutoFlag,AutoFile,OnsetTime
0,P01,80,0.15,0,378.3832297823543,0.01670006680029701,-6,0.0,0.13351359963417053,0.0,0.3619999885559082,-0.0,-0.0,0.1335136004800006,0.016689200060000076,-12.669999599456787,0.0015286010535443815,27,True,Midline_80_0.csv,9.0
1,P01,80,0.15,0,378.39978194074547,0.033288145805101976,-6,0.0,0.2662109732627869,0.0,0.3610000014305115,-0.0,-0.0,0.1326973875452495,0.01658717344315619,-12.635000050067902,-0.0011281348757909426,53,True,Midline_80_0.csv,9.0
2,P01,80,0.15,0,378.41649287428595,0.05000451271575912,-6,0.0,0.3999394774436951,0.0,0.3470000028610229,-0.0,-0.0,0.13372852045404215,0.01671606505675527,-12.145000100135805,0.00018556163101574041,80,True,Midline_80_0.csv,9.0
3,P01,80,0.15,0,378.4331301554759,0.06661009924658856,-6,0.0,0.5327914357185364,0.0,0.32600000500679016,-0.0,-0.0,0.13285193673982576,0.01660649209247822,-11.410000175237654,0.002375804043889373,107,True,Midline_80_0.csv,9.0
4,P01,80,0.15,0,378.4498878763703,0.08340887227086569,-6,0.0,0.6671816110610962,0.0,0.2919999957084656,-0.0,-0.0,0.134390184194217,0.016798773024277125,-10.219999849796297,-0.00197373359938946,133,True,Midline_80_0.csv,9.0
5,P01,80,0.15,0,378.466537231716,0.10005943503216486,-6,0.0,0.8003716468811035,0.0,0.25799998641014105,-0.0,-0.0,0.13319001310355816,0.01664875163794477,-9.029999524354936,-0.00012156873168189807,160,True,Midline_80_0.csv,9.0
6,P01,80,0.15,0,378.4831687776819,0.116690679144142,-6,0.0,0.9332597851753236,0.0,0.22499999403953552,-0.0,-0.0,0.13288815920714114,0.016611019900892643,-7.874999791383742,0.0020324936618130174,187,True,Midline_80_0.csv,9.0
7,P01,80,0.15,0,378.4998151144886,0.13333822336647927,-6,0.0,1.0666043758392334,0.0,0.1940000057220459,-0.0,-0.0,0.13334456229858915,0.016668070287323644,-6.7900002002716064,-0.0012714593028158028,213,True,Midline_80_0.csv,9.0
8,P01,80,0.15,0,378.5165197090972,0.1500397994362288,-6,0.0,1.2002121210098269,0.0,0.16300000250339508,-0.0,-0.0,0.1336077788955663,0.016700972361945787,-5.705000087618827,0.00016299621430571065,240,True,Midline_80_0.csv,9.0
9,P01,80,0.15,0,378.53314310500804,0.16664749894431452,-6,0.0,1.3330713510513306,0.0,0.1330000013113022,-0.0,-0.0,0.13285918123347076,0.016607397654183842,-4.6550000458955765,0.0023459668605168016,267,True,Midline_80_0.csv,9.0
10,P01,80,0.15,0,378.54976951945764,0.18329534502055367,-6,0.0,1.46626615524292,0.0,0.1040000021457672,-0.0,-0.0,0.1331948427655334,0.016649355345691674,-3.640000075101853,-0.0008081996317914619,293,True,Midline_80_0.csv,9.0
11,P01,80,0.15,0,378.5664581158098,0.19998333766494625,-6,0.0,1.5997700691223145,0.0,0.07900000363588333,-0.0,-0.0,0.13350394115559538,0.016687992644449427,-2.7650001272559166,0.0007300871765287821,320,True,Midline_80_0.csv,9.0
12,P01,80,0.15,0,378.58313856210685,0.2166308818873404,-6,0.0,1.7329576015472412,0.0,0.0560000017285347,-0.0,-0.0,0.13318759827234314,0.016648449784042896,-1.9600000604987144,-0.002416807549116884,346,True,Midline_80_0.csv,9.0
13,P01,80,0.15,0,378.59976044874804,0.23328446318760146,-6,0.0,1.8661717176437376,0.0,0.03500000014901161,-0.0,-0.0,0.13321416141479858,0.016651770176849826,-1.2250000052154064,-0.0005887229578986907,373,True,Midline_80_0.csv,9.0
14,P01,80,0.15,0,378.61642821718146,0.24995343903657385,-6,0.0,1.9995331764221191,0.0,0.01899999938905239,-0.0,-0.0,0.13336146611663935,0.01667018326457992,-0.6649999786168337,0.0010920189514349588,400,True,Midline_80_0.csv,9.0
15,P01,80,0.15,0,378.6331147005564,0.26662060376213503,-6,0.0,2.13286566734314,0.0,0.0070000002160668364,-0.0,-0.0,0.1333324881425142,0.016666561017814274,-0.2450000075623393,-0.002199834270304457,426,True,Midline_80_0.csv,9.0
16,P01,80,0.15,0,378.6497888079216,0.2833098038221351,-6,0.0,2.266367197036743,0.0,-0.003000000026077032,-0.0,-0.0,0.13350152632392565,0.016687690790490706,0.10500000091269612,-0.0006591632761931977,453,True,Midline_80_0.csv,9.0
17,P01,80,0.15,0,378.66640948714723,0.29993199231722656,-6,0.0,2.3993399143218994,0.0,-0.0070000002160668364,-0.0,-0.0,0.13297267829830162,0.016621584787287702,0.2450000075623393,0.0014103201263653276,480,True,Midline_80_0.csv,9.0
18,P01,80,0.15,0,378.6833525463338,0.31667401680908824,-6,0.0,2.5330538749694824,0.0,-0.008999999612569809,-0.0,-0.0,0.13371403146720695,0.01671425393340087,0.3149999864399433,-0.0022630028219365887,506,True,Midline_80_0.csv,9.0
19,P01,80,0.15,0,378.69982018563417,0.3333466149047695,-6,0.0,2.66675329208374,0.0,-0.008999999612569809,-0.0,-0.0,0.133699542479917,0.016712442809989625,0.3149999864399433,-0.0009202192484791817,533,True,Midline_80_0.csv,9.0
20,P01,80,0.15,0,378.7165519470935,0.3500765652407836,-6,0.0,2.8005928993225098,0.0,-0.008999999612569809,-0.0,-0.0,0.1338396026881128,0.0167299503360141,0.3149999864399433,0.0002823742004660623,560,True,Midline_80_0.csv,9.0
21,P01,80,0.15,0,378.7330539977379,0.36655356201185896,-6,0.0,2.932411193847656,0.0,-0.008999999612569809,-0.0,-0.0,0.13181838899981813,0.016477298624977266,0.3149999864399433,-0.00149528262539933,586,True,Midline_80_0.csv,9.0
22,P01,80,0.15,0,378.74971844577834,0.3832457806108209,-6,0.0,3.0659584999084477,0.0,-0.008999999612569809,-0.0,-0.0,0.133547408116101,0.016693426014512625,0.3149999864399433,-3.879984755705834e-07,613,True,Midline_80_0.csv,9.0
23,P01,80,0.15,0,378.766493372345,0.4000219145928554,-6,0.0,3.200165271759033,0.0,-0.008999999612569809,-0.0,-0.0,0.1342066570255156,0.01677583212818945,0.3149999864399433,0.0008350408386532671,640,True,Midline_80_0.csv,9.0
24,P01,80,0.15,0,378.7831046940997,0.4165952027568096,-6,0.0,3.332749128341675,0.0,-0.008999999612569809,-0.0,-0.0,0.13258389048041866,0.016572986310052332,0.3149999864399433,-0.0017081780447072425,666,True,Midline_80_0.csv,9.0
25,P01,80,0.15,0,378.79973895675073,0.4332696119759021,-6,0.0,3.46614670753479,0.0,-0.008999999612569809,-0.0,-0.0,0.13339768858395473,0.01667471107299434,0.3149999864399433,-6.355655010770178e-05,693,True,Midline_80_0.csv,9.0
26,P01,80,0.15,0,378.81641638450867,0.4499452286106021,-6,0.0,3.5995469093322754,0.0,-0.008999999612569809,-0.0,-0.0,0.13340010341516972,0.016675012926896216,0.3149999864399433,0.001578442340122166,720,True,Midline_80_0.csv,9.0
27,P01,80,0.15,0,378.83317199242583,0.4667017420894126,-6,0.0,3.733386516571045,0.0,-0.008999999612569809,-0.0,-0.0,0.13383960268765804,0.016729950335957255,0.3149999864399433,-0.002220527199366717,746,True,Midline_80_0.csv,9.0
28,P01,80,0.15,0,378.849750412106,0.48327503025331,-6,0.0,3.866180419921875,0.0,-0.008999999612569809,-0.0,-0.0,0.1327939807920302,0.016599247599003775,0.3149999864399433,2.777013751842361e-05,773,True,Midline_80_0.csv,9.0
29,P01,80,0.15,0,378.86648096614977,0.5000083009821878,-6,0.0,4.000049114227295,0.0,-0.008999999612569809,-0.0,-0.0,0.1338685806617832,0.0167335725827229,0.3149999864399433,0.0012012765198132767,800,True,Midline_80_0.csv,9.0
30,P01,80,0.15,0,378.88309530644364,0.5166160004902167,-6,0.0,4.132896423339844,0.0,-0.008999999612569809,-0.0,-0.0,0.13284710707739578,0.016605888384674472,0.3149999864399433,-0.001605394893454459,826,True,Midline_80_0.csv,9.0
31,P01,80,0.15,0,378.89980744739967,0.533334782232032,-6,0.0,4.2666587829589835,0.0,-0.008999999612569809,-0.0,-0.0,0.1337623280905973,0.016720291011324658,0.3149999864399433,-0.0003255538248803092,853,True,Midline_80_0.csv,9.0
32,P01,80,0.15,0,378.9164981567292,0.5500161340907539,-6,0.0,4.400097370147705,0.0,-0.008999999612569809,-0.0,-0.0,0.1334387407137001,0.016679842589212512,0.3149999864399433,0.0012780596741137627,880,True,Midline_80_0.csv,9.0
33,P01,80,0.15,0,378.9331435879743,0.5666567356735186,-6,0.0,4.533159255981445,0.0,-0.008999999612569809,-0.0,-0.0,0.13306202705143733,0.016632753381429666,0.3149999864399433,-0.0017431884603453796,906,True,Midline_80_0.csv,9.0
34,P01,80,0.15,0,378.9498590493232,0.5833854785939252,-6,0.0,4.667068958282472,0.0,-0.008999999612569809,-0.0,-0.0,0.1339096327919833,0.016738704098997914,0.3149999864399433,-0.000610690073655995,933,True,Midline_80_0.csv,9.0
35,P01,80,0.15,0,378.96653406225016,0.6000487192188757,-6,0.0,4.8003435134887695,0.022739967331290245,-0.008999999612569809,1.3650000281631949,0.022739967524825853,0.13327453219426388,0.016659316524282985,1.6800000146031382,0.001156955407759952,960,True,Midline_80_0.csv,9.0
36,P01,80,0.15,0,378.9831007096283,0.6166035942950998,-6,5.253460403764621e-05,4.93271017074585,0.04532501101493835,-0.0070000002160668364,1.3650000281631949,0.022585044027980082,0.13236655567470734,0.016545819459338418,1.6100000357255342,-0.0011702439367618535,986,True,Midline_80_0.csv,9.0
37,P01,80,0.15,0,378.9998164728312,0.6333410909784902,-6,0.00015846083988435566,5.066612720489502,0.06817210465669632,0.006000000052154064,1.3650000281631949,0.022847095474793862,0.13390238829833834,0.016737798537292292,1.1550000263378026,0.00016116753538686837,1013,True,Midline_80_0.csv,9.0
38,P01,80,0.15,0,379.0164522447516,0.6499774666066855,-6,0.00031683052657172084,5.199715614318848,0.0908828154206276,0.020999999716877937,1.3650000281631949,0.022710713353942882,0.13310307918163744,0.01663788489770468,0.6300000380724671,0.0019359946658036415,1040,True,Midline_80_0.csv,9.0
39,P01,80,0.15,0,379.0331468781817,0.6666497628485217,-6,0.0005283689824864268,5.33307695388794,0.11305416375398634,0.032999999821186066,1.3299999572336674,0.02217134302889309,0.1333614661161846,0.016670183264523075,0.17499996349215508,0.0015065037696554413,1066,True,Midline_80_0.csv,9.0
40,P01,80,0.15,0,379.0498560005989,0.6833782039150265,-6,0.0007924520177766682,5.46691370010376,0.13471907377243042,0.0430000014603138,1.2950000166893003,0.02166489506354146,0.1338371878568978,0.016729648482112225,-0.21000003442168255,0.0008186271198039987,1093,True,Midline_80_0.csv,9.0
41,P01,80,0.15,0,379.0664477018505,0.6999735274133627,-6,0.0011046379804611206,5.5996856689453125,0.1556307077407837,0.04600000008940697,1.2599999457597733,0.0209116280512979,0.13277224731109527,0.01659653091388691,-0.3500000573694706,0.002341782790605566,1120,True,Midline_80_0.csv,9.0
42,P01,80,0.15,0,379.0831408260111,0.7165842454603535,-6,0.0014657351421192286,5.732624053955077,0.1754053682088852,0.04600000008940697,1.1900000646710396,0.019774658085664303,0.13293887066220125,0.016617358832775153,-0.41999993845820427,0.0016858382566402204,1146,True,Midline_80_0.csv,9.0
43,P01,80,0.15,0,379.09974580883414,0.7332592583872497,-6,0.0018739409279078245,5.8659629821777335,0.19407294690608975,0.045000001788139336,1.1200000531971457,0.018667563455660268,0.13333973263570442,0.016667466579463053,-0.4550000093877313,0.00206621790428156,1173,True,Midline_80_0.csv,9.0
44,P01,80,0.15,0,379.11641629395257,0.7499394028303641,-6,0.0023262116592377424,5.999485492706299,0.21218205988407132,0.045000001788139336,1.0849999822676182,0.018109091815073537,0.13352325980486054,0.016690407475607568,-0.4900000803172588,0.003335237204901211,1200,True,Midline_80_0.csv,9.0
45,P01,80,0.15,0,379.1331891075418,0.7667125182734935,-6,0.0028222757391631608,6.133437633514403,0.2291773706674576,0.045000001788139336,1.014999970793724,0.016995299042063133,0.13395309975248892,0.016744137469061116,-0.560000091791153,0.003206232650053423,1226,True,Midline_80_0.csv,9.0
46,P01,80,0.15,0,379.1497219472837,0.7832456598692374,-6,0.003352277912199497,6.2659406661987305,0.24540914595127106,0.045000001788139336,0.9800000302493572,0.016231765129852662,0.13250420105168814,0.016563025131461018,-0.5950000323355198,0.00350336968874425,1253,True,Midline_80_0.csv,9.0
47,P01,80,0.15,0,379.1664437475644,0.7999683657117203,-6,0.003924865275621414,6.3996219635009775,0.2617852687835693,0.04399999976158142,0.9800000302493572,0.016376123741555417,0.1336826386618668,0.01671032983273335,-0.5599999614059925,0.004589400711222262,1280,True,Midline_80_0.csv,9.0
48,P01,80,0.15,0,379.1831963369426,0.8167179365509583,-6,0.004537172615528107,6.5336341857910165,0.2776156365871429,0.04399999976158142,0.9450000245124102,0.015830341617211238,0.13401347053195425,0.016751683816494282,-0.5949999671429396,0.00480867327823914,1306,True,Midline_80_0.csv,9.0
49,P01,80,0.15,0,379.1998142994832,0.8333383139226385,-6,0.005181767512112856,6.666667938232423,0.29333049058914185,0.04399999976158142,0.9450000245124102,0.015714814581875968,0.1330354639089819,0.016629432988622742,-0.5949999671429396,0.005198401279820246,1333,True,Midline_80_0.csv,9.0
50,P01,80,0.15,0,379.216588018634,0.8501126367813185,-6,0.005868797190487385,6.800863265991211,0.3085953891277313,0.04399999976158142,0.9100000187754632,0.015264908803400925,0.13419699770065566,0.016774624712581954,-0.6299999728798865,0.006003035055500945,1360,True,Midline_80_0.csv,9.0
51,P01,80,0.15,0,379.23316885314523,0.8666850193835671,-6,0.0065824491903185844,6.93336296081543,0.3236674964427948,0.04399999976158142,0.9100000187754632,0.015072078493551622,0.13250178622047315,0.016562723277559144,-0.6299999728798865,0.00669033853680002,1386,True,Midline_80_0.csv,9.0
52,P01,80,0.15,0,379.24972916159174,0.8832549871546576,-6,0.00733172008767724,7.065998077392577,0.3387549817562103,0.04399999976158142,0.9100000187754632,0.015087460968398131,0.1326370167657842,0.016579627095723026,-0.6299999728798865,0.007430965533831738,1413,True,Midline_80_0.csv,9.0
53,P01,80,0.15,0,379.2664723934992,0.8999985209159149,-6,0.008123683743178844,7.199946403503418,0.35399186611175537,0.04399999976158142,0.9100000187754632,0.01523689072421991,0.13395068492172868,0.016743835615216085,-0.6299999728798865,0.008444171677444684,1440,True,Midline_80_0.csv,9.0
54,P01,80,0.15,0,379.2831893641177,0.9167112655798632,-6,0.008949702605605125,7.333641052246094,0.3691999018192291,0.04399999976158142,0.9100000187754632,0.01520804858381804,0.133697127648702,0.01671214095608775,-0.6299999728798865,0.009050905869449023,1466,True,Midline_80_0.csv,9.0
55,P01,80,0.15,0,379.29974393734,0.9332679517794418,-6,0.009803241118788721,7.466099262237549,0.3842673301696777,0.04399999976158142,0.9100000187754632,0.015067408813696741,0.13246073409072778,0.016557591761340973,-0.6299999728798865,0.009880636735707705,1493,True,Midline_80_0.csv,9.0
56,P01,80,0.15,0,379.3164316281305,0.9499562462777932,-6,0.010698609054088593,7.599600315093994,0.39945343136787415,0.04399999976158142,0.9100000187754632,0.01518607361972204,0.13350394115514064,0.01668799264439258,-0.6299999728798865,0.010927758950579021,1519,True,Midline_80_0.csv,9.0
