,ppid,radius,yawrate_offset,trialn,timestamp_exp,timestamp_trial,trialtype_signed,World_x,World_z,WorldYaw,SWA,YawRate_seconds,TurnAngle_frames,Distance_frames,dt,WheelCorrection,SteeringBias,Closestpt,AutoFlag,AutoFile,OnsetTime
0,P01,40,-1.5,2,805.3190239493898,0.016697048261335112,-4,0.0,0.1335788071155548,359.9801301527768,-0.2680000066757202,-1.1900000646710396,-0.019869847716831715,0.1335788009209864,0.0166973501151233,8.190000168979168,0.0014633935721601046,27,True,Midline_40_2.csv,6.0
1,P01,40,-1.5,2,805.3355579965472,0.03327124198699494,-4,-4.597681618179194e-05,0.2661554515361786,359.96040937304497,-0.2680000066757202,-1.1900000646710396,-0.019720777162266268,0.13257664598677366,0.01657208074834671,8.190000168979168,-0.0010735980790900154,53,True,Midline_40_2.csv,6.0
2,P01,40,-1.5,2,805.3523407713153,0.050036509228789335,-4,-0.00013853328709956259,0.4001036882400513,359.94048456475133,-0.2630000114440918,-1.1900000646710396,-0.019924806258785645,0.1339482700905137,0.01674353376131421,8.015000335872173,-0.00014016893298897875,80,True,Midline_40_2.csv,6.0
3,P01,40,-1.5,2,805.3689732228427,0.06670397580830922,-4,-0.00027711637085303664,0.5335181951522827,359.920639142394,-0.2380000054836273,-1.1900000646710396,-0.01984542169830578,0.13341459240200493,0.016676824050250616,7.1400001272559175,0.0016721667408594618,107,True,Midline_40_2.csv,6.0
4,P01,40,-1.5,2,805.3856509524546,0.08338200727416734,-4,-0.00046196015318855643,0.6669688820838928,359.9007883295417,-0.19699999690055847,-1.1900000646710396,-0.019850809790747048,0.1334508148702298,0.016681351858778726,5.704999826848508,-0.0018205890427262195,133,True,Midline_40_2.csv,6.0
5,P01,40,-1.5,2,805.4023117782484,0.10003136261980217,-4,-0.0006925753550603986,0.8001514673233032,359.88097739964724,-0.15299999713897705,-1.1900000646710396,-0.0198109379073581,0.13318276860991318,0.016647846076239148,4.164999835193156,-0.0006995603744243878,160,True,Midline_40_2.csv,6.0
6,P01,40,-1.5,2,805.4188778219188,0.11661581937789832,-4,-0.0009682422969490289,0.9328534007072448,359.8612379580737,-0.10199999809265137,-1.1900000646710396,-0.019739455882323474,0.13270221720722475,0.016587777150903094,2.3799998685717583,-0.0026240464321472725,187,True,Midline_40_2.csv,6.0
7,P01,40,-1.5,2,805.4356252797808,0.1333620698243294,-4,-0.0012926802737638356,1.0668157339096072,359.8413109928369,-0.06599999964237213,-1.1900000646710396,-0.019926961495762157,0.13396275907780364,0.016745344884725455,1.1199999228119852,-0.0019671730102892,213,True,Midline_40_2.csv,6.0
8,P01,40,-1.5,2,805.4522317718734,0.1499667507933964,-4,-0.0016605925047770145,1.1996526718139648,359.8215514272452,-0.03999999910593033,-1.1900000646710396,-0.01975957142703168,0.1328374477525358,0.016604680969066976,0.2099999040365219,-0.0018109375576186289,240,True,Midline_40_2.csv,6.0
9,P01,40,-1.5,2,805.468980135297,0.16671692534043814,-4,-0.00207794108428061,1.333653450012207,359.8016187101602,-0.032999999821186066,-1.1900000646710396,-0.019932708794230886,0.134001396376334,0.016750174547041752,-0.03500007092952728,-0.002725631874836162,267,True,Midline_40_2.csv,6.0
10,P01,40,-1.5,2,805.4856632982791,0.1833955605141,-4,-0.002539909211918712,1.4670768976211548,359.78177186846733,-0.03500000014901161,-1.1900000646710396,-0.019846858522956787,0.1334242517268649,0.016678031465858112,0.03499994054436684,-0.0030119946939889536,293,True,Midline_40_2.csv,6.0
11,P01,40,-1.5,2,805.5022522828456,0.19998907288902498,-4,-0.0030455098021775484,1.5998215675354004,359.76202592253685,-0.039000000804662704,-1.1900000646710396,-0.01974592159311771,0.1327456841681851,0.016593210521023142,0.17499996349215508,-0.003120194331292591,320,True,Midline_40_2.csv,6.0
12,P01,40,-1.5,2,805.5188871492043,0.21662152441660965,-4,-0.0035984830465167757,1.7329572439193726,359.74222180247307,-0.039000000804662704,-1.1900000646710396,-0.01980411299040111,0.13313688681773786,0.016642110852217232,0.17499996349215508,-0.0043345484722135995,346,True,Midline_40_2.csv,6.0
13,P01,40,-1.5,2,805.5355968753291,0.23332913756428295,-4,-0.0041997991502285,1.8666095733642576,359.7223407924175,-0.039000000804662704,-1.1900000646710396,-0.01988098310774172,0.13365366068774165,0.016706707585967706,0.17499996349215508,-0.004323445001991345,373,True,Midline_40_2.csv,6.0
14,P01,40,-1.5,2,805.5523289386424,0.25006603053986964,-4,-0.00484867300838232,2.0005054473876958,359.702423542738,-0.039000000804662704,-1.1900000646710396,-0.01991726292950316,0.13389755863590835,0.016737194829488544,0.17499996349215508,-0.004850151494781632,400,True,Midline_40_2.csv,6.0
15,P01,40,-1.5,2,805.5688732488322,0.2666118499992081,-4,-0.005536190699785948,2.1328799724578857,359.68273255228996,-0.039000000804662704,-1.1900000646710396,-0.019690963051299068,0.1323762149995673,0.016547026874945914,0.17499996349215508,-0.005962534753008024,426,True,Midline_40_2.csv,6.0
16,P01,40,-1.5,2,805.585522906032,0.2832596960754472,-4,-0.006273694802075625,2.26606559753418,359.6629208624363,-0.039000000804662704,-1.1900000646710396,-0.0198116563196836,0.13318759827234314,0.016648449784042896,0.17499996349215508,-0.006283876058755697,453,True,Midline_40_2.csv,6.0
17,P01,40,-1.5,2,805.6023147364166,0.3000536394373512,-4,-0.007064084988087416,2.4004123210906982,359.6429364681244,-0.039000000804662704,-1.1900000646710396,-0.019984434480720053,0.13434913206492638,0.016793641508115797,0.17499996349215508,-0.00707216248089252,480,True,Midline_40_2.csv,6.0
18,P01,40,-1.5,2,805.6189351137883,0.31667280939348075,-4,-0.007892620749771595,2.533360719680786,359.62315997481346,-0.039000000804662704,-1.1900000646710396,-0.01977645411641041,0.13295094481782144,0.01661886810222768,0.17499996349215508,-0.008258734912488333,507,True,Midline_40_2.csv,6.0
19,P01,40,-1.5,2,805.6356291435106,0.33336955580091404,-4,-0.008771175518631935,2.6669366359710693,359.6032901108265,-0.039000000804662704,-1.1900000646710396,-0.019869847716831715,0.1335788009209864,0.0166973501151233,0.17499996349215508,-0.008840326440429855,533,True,Midline_40_2.csv,6.0
20,P01,40,-1.5,2,805.6523189472784,0.35006026513042343,-4,-0.009695668704807758,2.8004567623138428,359.5834285020828,-0.039000000804662704,-1.1900000646710396,-0.019861585975359013,0.13352325980486054,0.016690407475607568,0.17499996349215508,-0.009704696969280316,560,True,Midline_40_2.csv,6.0
21,P01,40,-1.5,2,805.6689812823417,0.3667129408689789,-4,-0.010664058849215508,2.933648109436035,359.5641984641552,-0.039000000804662704,-1.1549999937415123,-0.019230005320139756,0.13319484276598814,0.016649355345748518,0.2100000344216824,-0.010902851352741563,587,True,Midline_40_2.csv,6.0
22,P01,40,-1.5,2,805.6855956226357,0.3833299978477953,-4,-0.011675388552248478,3.0666072368621826,359.54500192403793,-0.039000000804662704,-1.1549999937415123,-0.019196535760337863,0.1329630189738964,0.01662037737173705,0.2100000344216824,-0.011693419561854336,613,True,Midline_40_2.csv,6.0
23,P01,40,-1.5,2,805.702225357478,0.3999648642065949,-4,-0.012731610797345638,3.1996095180511475,359.5263810157776,-0.039000000804662704,-1.1200000531971457,-0.018620908915325626,0.13300648593485676,0.016625810741857094,0.24499997496604894,-0.01280735034914602,640,True,Midline_40_2.csv,6.0
24,P01,40,-1.5,2,805.7189133501224,0.4166528568509875,-4,-0.0138357887044549,3.333183765411377,359.50884878635406,-0.039000000804662704,-1.0499999765306711,-0.017532217229003864,0.1335788009209864,0.0166973501151233,0.31500005163252354,-0.014000739469358862,666,True,Midline_40_2.csv,6.0
