,ppid,radius,yawrate_offset,trialn,timestamp_exp,timestamp_trial,trialtype_signed,World_x,World_z,WorldYaw,SWA,YawRate_seconds,TurnAngle_frames,Distance_frames,dt,WheelCorrection,SteeringBias,Closestpt,AutoFlag,AutoFile,OnsetTime
0,P01,40,-1.5,0,331.7852563086709,0.016650260907397296,4,0.0,0.13326969742774966,0.0,0.15700000524520874,0.0,0.0,0.13326970253228865,0.01665871281653608,-5.495000183582307,-0.0017725032599652801,27,True,Midline_40_0.csv,8.75
1,P01,40,-1.5,0,331.801942490192,0.03338141865896205,4,0.0,0.26711171865463257,0.0,0.15700000524520874,0.0,0.0,0.13384201751887306,0.016730252189859133,-5.495000183582307,0.0020288802676366453,53,True,Midline_40_0.csv,8.75
2,P01,40,-1.5,0,331.8185924492455,0.05003771664428314,4,0.0,0.40027758479118347,0.0,0.15000000596046448,0.0,0.0,0.13316586479186301,0.016645733098982873,-5.250000208616257,0.0001525457164726629,80,True,Midline_40_0.csv,8.75
3,P01,40,-1.5,0,331.8352581047016,0.06670669249325556,4,0.0,0.5336269736289978,0.0,0.13699999451637268,0.0,0.0,0.1333493919605644,0.01666867399507055,-4.794999808073044,-0.0015402661334279475,107,True,Midline_40_0.csv,8.75
4,P01,40,-1.5,0,331.85185855971616,0.08330775121561372,4,0.0,0.6664523482322693,0.0,0.125,0.0,0.0,0.1328253735969156,0.01660317169961445,-4.375,0.0012444707705625555,133,True,Midline_40_0.csv,8.75
5,P01,40,-1.5,0,331.8686023953314,0.10005249239253544,4,0.0,0.8004078865051271,0.0,0.10899999737739564,0.0,0.0,0.13395551458415866,0.016744439323019833,-3.8149999082088466,0.00015780835570533558,160,True,Midline_40_0.csv,8.75
6,P01,40,-1.5,0,331.885223074557,0.11666230487787745,4,0.0,0.9332405328750609,0.0,0.09200000017881392,0.0,0.0,0.13283261809056054,0.016604077261320068,-3.220000006258488,-0.0020517459620754686,187,True,Midline_40_0.csv,8.75
7,P01,40,-1.5,0,331.92168732705665,0.15290892071834605,4,0.0,1.2229502201080322,0.0,0.06300000101327896,0.0,0.0,0.2897097101267718,0.03621371376584648,-2.205000035464764,-0.0024327120582696704,245,True,Midline_40_0.csv,8.75
8,P01,40,-1.5,0,331.9226762004201,0.15412388265008306,4,0.0,1.2330539226531982,0.0,0.06300000101327896,0.0,0.0,0.010103653609348841,0.0012629567011686051,-2.205000035464764,-0.002332135489971465,247,True,Midline_40_0.csv,8.75
9,P01,40,-1.5,0,331.9519647821022,0.18340642725428324,4,0.0,1.366620659828186,0.0,0.03999999910593033,0.0,0.0,0.13356672676582093,0.016695840845727616,-1.3999999687075615,0.0011939639857354578,273,True,Midline_40_0.csv,8.75
10,P01,40,-1.5,0,331.9686123263246,0.2000560844538768,4,0.0,1.4998106956481934,0.0,0.032000001519918435,0.0,0.0,0.13319001310355816,0.01664875163794477,-1.1200000531971457,-0.0006582008819722153,300,True,Midline_40_0.csv,8.75
11,P01,40,-1.5,0,331.9852179128554,0.21666650064702253,4,0.0,1.6327012777328491,0.0,0.024000000208616257,0.0,0.0,0.13289057403835616,0.016611321754794517,-0.8400000073015691,0.0021917435034024546,326,True,Midline_40_0.csv,8.75
12,P01,40,-1.5,0,332.0018666644933,0.2333101207686923,4,0.0,1.7658381462097168,0.0,0.020999999716877937,0.0,0.0,0.13313688681773786,0.016642110852217232,-0.7349999900907278,0.00028641129255535525,353,True,Midline_40_0.csv,8.75
13,P01,40,-1.5,0,332.01856612758576,0.2500062634683218,4,0.0,1.8993903398513796,0.0,0.01899999938905239,0.0,0.0,0.13355223777898573,0.016694029722373216,-0.6649999786168337,-0.0012035957534970445,380,True,Midline_40_0.csv,8.75
14,P01,40,-1.5,0,332.0352154829315,0.26666286330754474,4,0.0,2.0326697826385502,0.0,0.017999999225139618,0.0,0.0,0.13327936185669387,0.01665992023208673,-0.6299999728798866,0.002035209334392274,406,True,Midline_40_0.csv,8.75
15,P01,40,-1.5,0,332.05188747731944,0.2833327447182228,4,0.0,2.166101217269897,0.0,0.017999999225139618,0.0,0.0,0.13343149622050987,0.016678937027563734,-0.6299999728798866,0.00042444327802515497,433,True,Midline_40_0.csv,8.75
16,P01,40,-1.5,0,332.0685498123827,0.2999842130412276,4,0.0,2.2991247177124023,0.0,0.017999999225139618,0.0,0.0,0.1330233897524522,0.016627923719056525,-0.6299999728798866,-0.0015942569671847373,460,True,Midline_40_0.csv,8.75
17,P01,40,-1.5,0,332.0851934325044,0.31663779434148864,4,0.0,2.432437896728516,0.0,0.01899999938905239,0.0,0.0,0.133313169493249,0.016664146186656126,-0.6649999786168337,0.001678284349647452,486,True,Midline_40_0.csv,8.75
18,P01,40,-1.5,0,332.10188897149624,0.3333357481644725,4,0.0,2.5660457611083984,0.0,0.020999999716877937,0.0,0.0,0.1336077788955663,0.016700972361945787,-0.7349999900907278,0.00024394804181548932,513,True,Midline_40_0.csv,8.75
19,P01,40,-1.5,0,332.1186005087445,0.35004758726671525,4,0.0,2.6998298168182373,0.0,0.020999999716877937,0.0,0.0,0.13378406157107747,0.016723007696384684,-0.7349999900907278,-0.0010141969360608627,540,True,Midline_40_0.csv,8.75
