,ppid,trialn,timestamp_exp,timestamp_trial,World_x,World_z,WorldYaw,SWA,YawRate_seconds,TurnAngle_frames,Distance_frames,dt,WheelCorrection,AutoFlag
0,P01,3,166.81925803708637,4.262197840476858,-120.0,0.0680861622095108,0.0,0.0070000002160668364,0.0,0.0,0.06808616479838747,0.008510770599798434,-0.2450000075623393,True
1,P01,3,166.83610239004895,4.279075095514116,-120.0,0.20281684398651126,0.0,0.0070000002160668364,0.0,0.0,0.13473067538893702,0.016841334423617127,-0.2450000075623393,True
2,P01,3,166.92033200306318,4.363136575908272,-120.0,0.8757530450820923,0.0,0.0070000002160668364,0.0,0.0,0.6729361720881569,0.08411702151101963,-0.2450000075623393,True
3,P01,3,166.92077542643653,4.363876721661427,-120.0,0.8817852735519409,0.0,0.0070000002160668364,0.0,0.0,0.0060322482590891005,0.0007540310323861378,-0.2450000075623393,True
4,P01,3,166.95682372426734,4.3996714622195165,-120.0,1.0440281629562378,0.0,0.009999999776482582,0.0,0.0,0.1622428468929229,0.02028035586161536,-0.3499999921768904,True
5,P01,3,166.97327868570397,4.416385414299015,-120.0,1.1777493953704834,0.0,0.012000000104308128,0.0,0.0,0.13372127596039718,0.016715159495049647,-0.4200000036507845,True
6,P01,3,166.98992260767955,4.433028732566812,-120.0,1.3108693361282349,0.0,0.0130000002682209,0.0,0.0,0.13311998299968766,0.016639997874960958,-0.4550000093877316,True
7,P01,3,167.00662358004155,4.449717027065134,-120.0,1.44445538520813,0.0,0.0130000002682209,0.0,0.0,0.13358604541508612,0.01669825567688576,-0.4550000093877316,True
8,P01,3,167.02321256460806,4.466319595056972,-120.0,1.5772831439971924,0.0,0.0130000002682209,0.0,0.0,0.1328277884281306,0.016603473553516324,-0.4550000093877316,True
9,P01,3,167.0399681725252,4.4830776178052645,-120.0,1.7113593816757202,0.0,0.0130000002682209,0.0,0.0,0.13407625614240715,0.01675953201780089,-0.4550000093877316,True
10,P01,3,167.05661813157872,4.499716408264646,-120.0,1.8443803787231443,0.0,0.012000000104308128,0.0,0.0,0.13302097492169196,0.0166276218652115,-0.4200000036507845,True
11,P01,3,167.0732871074277,4.5163974582694655,-120.0,1.9778409004211424,0.0,0.009999999776482582,0.0,0.0,0.13346047419440765,0.016682559274300957,-0.3499999921768904,True
12,P01,3,167.0898667345234,4.5329755760957084,-120.0,2.1104538440704346,0.0,0.0070000002160668364,0.0,0.0,0.13261286845408904,0.01657660855676113,-0.2450000075623393,True
13,P01,3,167.10656378278472,4.549672322503113,-120.0,2.244023084640503,0.0,0.004000000189989804,0.0,0.0,0.13356914159703592,0.01669614269962949,-0.14000000664964318,True
14,P01,3,167.1232339660493,4.5663446187449495,-120.0,2.377415895462036,0.0,0.001000000047497451,0.0,0.0,0.13339285892152475,0.016674107365190594,-0.0350000016624108,True
15,P01,3,167.13987124723914,4.582980390665341,-120.0,2.5104947090148926,0.0,-0.004000000189989804,0.0,0.0,0.1330789308697149,0.016634866358714362,0.14000000664964318,True
16,P01,3,167.15661779953942,4.599716981787054,-120.0,2.644394636154175,0.0,-0.006000000052154064,0.0,0.0,0.13389997346712335,0.016737496683390418,0.21000000182539225,True
17,P01,3,167.1732143304533,4.6163261905645925,-120.0,2.777268409729004,0.0,-0.008999999612569809,0.0,0.0,0.13287367022030594,0.01660920877753824,0.3149999864399433,True
18,P01,3,167.18988089147115,4.632992147874603,-120.0,2.910608053207397,0.0,-0.009999999776482582,0.0,0.0,0.1333397326359318,0.016667466579491474,0.3499999921768904,True
19,P01,3,167.2065664692844,4.649676216418385,-120.0,3.0441458225250244,0.0,-0.009999999776482582,0.0,0.0,0.13353774879192315,0.016692218598990394,0.3499999921768904,True
20,P01,3,167.22325748046782,4.666368133163446,-120.0,3.177683591842652,0.0,-0.009999999776482582,0.0,0.0,0.13353774879169578,0.016692218598961972,0.3499999921768904,True
21,P01,3,167.23996267878428,4.683073935187736,-120.0,3.3113300800323486,0.0,-0.009999999776482582,0.0,0.0,0.13364641619432405,0.016705802024290506,0.3499999921768904,True
22,P01,3,167.25657762278587,4.6996864643581375,-120.0,3.4442327022552486,0.0,-0.009999999776482582,0.0,0.0,0.1329026481944311,0.016612831024303887,0.3499999921768904,True
23,P01,3,167.27333534368032,4.7164472037915175,-120.0,3.5783185958862305,0.0,-0.009999999776482582,0.0,0.0,0.13408591546703974,0.016760739433379968,0.3499999921768904,True
24,P01,3,167.28994093021106,4.733052186614543,-120.0,3.711153507232666,0.0,-0.009999999776482582,0.0,0.0,0.1328350329215482,0.016604379115193524,0.3499999921768904,True
25,P01,3,167.3065718724691,4.749682525164816,-120.0,3.84412145614624,0.0,-0.008999999612569809,0.0,0.0,0.132967848636099,0.016620981079512376,0.3149999864399433,True
26,P01,3,167.32321458702916,4.76632433416313,-120.0,3.9773283004760738,0.0,-0.008999999612569809,0.0,0.0,0.13320691692160835,0.016650864615201044,0.3149999864399433,True
27,P01,3,167.3399025796736,4.78301353422313,-120.0,4.110851764678955,0.0,-0.008999999612569809,0.0,0.0,0.13352325980486054,0.016690407475607568,0.3149999864399433,True
28,P01,3,167.3566430948959,4.799735334503937,-120.0,4.244558334350587,0.0,-0.008000000379979609,0.0,0.0,0.13370678697356198,0.016713348371695247,0.2800000132992864,True
29,P01,3,167.37319404587151,4.816300774466555,-120.0,4.3771448135375985,0.0,-0.008000000379979609,0.0,0.0,0.13258630531117888,0.01657328816389736,0.2800000132992864,True
